transaction_id,customer_id,business_unit,region,transaction_date,amount,status_code,segment,product_group,validation_status,validation_reason
TXN00001,CUST052,Wholesale,South,2023-05-11,4625.49,ACTIVE,Segment B,Consumer,REJECTED,duplicate_transaction
TXN00002,CUST055,Wholesale,North,2024-06-11,3304.08,ACTIVE,Segment C,Logistics,OK,
TXN00003,CUST037,Retail,South,2024-07-04,4418.38,ACTIVE,Segment A,Industrial,OK,
TXN00004,CUST014,Retail,West,2024-09-16,5707.22,ACTIVE,Segment B,Industrial,OK,
TXN00005,CUST010,Retail,South,2023-05-23,7505.34,CLOSED,Segment A,Logistics,OK,
TXN00006,CUST048,Retail,West,2024-01-22,6168.2,CLOSED,Segment B,Consumer,OK,
TXN00007,CUST001,Wholesale,South,2023-08-22,5317.0,ACTIVE,Segment B,Consumer,OK,
TXN00008,CUST030,Retail,West,2023-12-12,5871.29,ACTIVE,Segment B,Consumer,OK,
TXN00009,CUST022,Wholesale,East,2023-11-04,8207.87,ACTIVE,Segment B,Logistics,OK,
TXN00010,CUST001,Manufacturing,East,2023-01-29,4737.96,CLOSED,Segment A,Office,OK,
TXN00011,CUST027,Manufacturing,East,2024-12-24,1392.31,ACTIVE,Segment A,Consumer,OK,
TXN00012,CUST025,Manufacturing,West,2023-05-20,836.08,CLOSED,Segment A,Consumer,OK,
TXN00013,CUST017,Wholesale,East,2023-01-18,6911.94,ACTIVE,Segment B,Office,OK,
TXN00014,CUST001,Retail,South,2024-09-13,2130.39,CLOSED,Segment C,Consumer,OK,
TXN00015,CUST011,Retail,East,2023-05-18,792.12,ACTIVE,Segment B,Logistics,OK,
TXN00016,CUST056,Wholesale,South,2024-12-24,-693.66,ACTIVE,Segment B,Industrial,REJECTED,negative_amount
TXN00017,CUST009,Retail,West,2024-07-13,1235.91,ACTIVE,Segment B,Industrial,OK,
TXN00018,CUST040,Retail,South,2024-03-15,4514.42,ACTIVE,Segment A,Office,OK,
TXN00019,CUST056,Manufacturing,East,2024-02-10,-1948.93,ACTIVE,Segment C,Logistics,REJECTED,negative_amount
TXN00020,CUST020,Wholesale,South,2024-09-20,6459.26,ACTIVE,Segment B,Logistics,OK,
TXN00021,CUST012,Retail,West,2024-12-01,5872.78,ACTIVE,Segment A,Consumer,OK,
TXN00022,CUST044,Manufacturing,East,2024-11-18,1136.36,ACTIVE,Segment B,Consumer,OK,
TXN00023,CUST001,Wholesale,North,2023-09-16,8656.56,ACTIVE,Segment B,Logistics,OK,
TXN00024,CUST017,Manufacturing,South,2023-02-13,1532.87,ACTIVE,Segment B,Industrial,OK,
TXN00025,CUST015,Retail,West,2024-07-31,1150.64,ACTIVE,Segment B,Industrial,OK,
TXN00026,CUST015,Manufacturing,East,2023-12-18,-1857.48,ACTIVE,Segment A,Logistics,REJECTED,negative_amount
TXN00027,CUST042,Retail,East,2023-12-07,1550.82,CLOSED,Segment C,Consumer,OK,
TXN00028,CUST005,Manufacturing,West,2024-09-25,4921.94,ACTIVE,Segment B,Office,OK,
TXN00029,CUST014,Manufacturing,East,2024-09-13,7705.33,ACTIVE,Segment B,Industrial,OK,
TXN00030,CUST040,Wholesale,North,2023-10-24,2108.48,ACTIVE,Segment B,Office,OK,
TXN00031,CUST002,Manufacturing,South,2023-12-31,5099.98,ACTIVE,Segment B,Consumer,OK,
TXN00032,CUST040,Wholesale,East,2023-01-17,6023.06,ACTIVE,Segment A,Logistics,OK,
TXN00033,CUST052,Wholesale,East,2024-10-16,4197.75,ACTIVE,Segment A,Consumer,OK,
TXN00034,CUST002,Wholesale,South,2023-03-13,4410.2,ACTIVE,Segment A,Consumer,OK,
TXN00035,CUST038,Manufacturing,South,2023-12-27,4274.05,ACTIVE,Segment A,Industrial,OK,
TXN00036,CUST059,Retail,North,2023-04-22,-4161.58,ACTIVE,Segment C,Industrial,REJECTED,negative_amount
TXN00037,CUST039,Manufacturing,East,2023-12-23,2.56,ACTIVE,Segment B,Consumer,OK,
TXN00038,CUST047,Manufacturing,East,2023-01-07,2123.1,ACTIVE,Segment A,Industrial,OK,
TXN00039,CUST019,Retail,West,2023-02-25,7842.55,ACTIVE,Segment A,Industrial,OK,
TXN00040,CUST055,Retail,North,2023-06-13,10598.48,ACTIVE,Segment C,Logistics,OK,
TXN00041,CUST004,Retail,West,2024-12-22,3803.36,ACTIVE,Segment B,Logistics,OK,
TXN00042,CUST031,Wholesale,North,2023-05-30,4016.14,PENDING,Segment C,Industrial,OK,
TXN00043,CUST047,Wholesale,North,2024-06-22,6116.92,ACTIVE,Segment A,Logistics,OK,
TXN00044,CUST025,Manufacturing,East,2023-11-05,2213.51,CLOSED,Segment C,Consumer,OK,
TXN00045,CUST049,Manufacturing,West,2024-06-26,7960.83,ACTIVE,Segment B,Office,OK,
TXN00046,CUST055,Retail,North,2023-06-26,1326.11,ACTIVE,Segment A,Industrial,OK,
TXN00047,CUST036,Manufacturing,North,2024-06-01,10137.39,ACTIVE,Segment B,Office,OK,
TXN00048,CUST020,Retail,North,2023-01-31,4736.48,CLOSED,Segment A,Industrial,OK,
TXN00049,CUST058,Wholesale,North,2024-01-10,4698.74,ACTIVE,Segment B,Consumer,OK,
TXN00050,CUST006,Wholesale,South,2023-04-04,6818.97,ACTIVE,Segment B,Office,OK,
TXN00051,CUST007,Wholesale,West,2024-06-30,2301.58,ACTIVE,Segment C,Logistics,OK,
TXN00052,CUST053,Retail,West,2023-08-18,2094.13,ACTIVE,Segment C,Office,OK,
TXN00053,CUST051,Retail,West,2024-12-03,3632.74,ACTIVE,Segment A,Industrial,OK,
TXN00054,CUST045,Retail,East,2024-07-24,2543.88,ACTIVE,Segment C,Industrial,OK,
TXN00055,CUST048,Retail,North,2024-06-16,752.73,ACTIVE,Segment B,Office,OK,
TXN00056,CUST029,Wholesale,North,2023-09-06,4812.45,ACTIVE,Segment C,Industrial,OK,
TXN00057,CUST024,Retail,North,2024-11-19,3647.15,ACTIVE,Segment C,Logistics,OK,
TXN00058,CUST023,Wholesale,South,2023-08-22,6350.7,CLOSED,Segment A,Logistics,OK,
TXN00059,CUST014,Wholesale,North,2023-09-20,9230.71,ACTIVE,Segment B,Industrial,OK,
TXN00060,CUST003,Retail,South,2023-05-18,5310.68,ACTIVE,Segment B,Logistics,OK,
TXN00061,CUST035,Manufacturing,South,2024-07-07,8794.94,ACTIVE,Segment B,Industrial,OK,
TXN00062,CUST018,Manufacturing,West,2023-10-11,7590.54,ACTIVE,Segment A,Industrial,OK,
TXN00063,CUST056,Wholesale,South,2023-01-25,2443.06,ACTIVE,Segment B,Office,OK,
TXN00064,CUST045,Wholesale,South,2024-09-23,7801.05,ACTIVE,Segment B,Consumer,OK,
TXN00065,CUST055,Retail,East,2024-07-10,1556.55,ACTIVE,Segment A,Logistics,OK,
TXN00066,CUST037,Manufacturing,East,2023-07-29,5228.54,CLOSED,Segment A,Office,OK,
TXN00067,CUST011,Wholesale,North,2024-10-05,9260.41,ACTIVE,Segment C,Office,OK,
TXN00068,CUST009,Manufacturing,North,2024-10-23,5771.42,ACTIVE,Segment B,Office,OK,
TXN00069,CUST037,Manufacturing,North,2024-08-16,2175.12,ACTIVE,Segment C,Logistics,OK,
TXN00070,CUST037,Retail,West,2023-01-27,7824.18,ACTIVE,Segment B,Industrial,OK,
TXN00071,CUST030,Retail,North,2023-04-04,4336.12,CLOSED,Segment A,Office,OK,
TXN00072,CUST035,Manufacturing,West,2024-08-16,3472.98,ACTIVE,Segment B,Industrial,OK,
TXN00073,CUST039,Retail,East,2023-01-04,4285.53,CLOSED,Segment A,Logistics,OK,
TXN00074,CUST020,Manufacturing,West,2024-07-15,2291.33,ACTIVE,Segment C,Office,OK,
TXN00075,CUST013,Manufacturing,North,2023-10-19,1438.0,ACTIVE,Segment C,Industrial,OK,
TXN00076,CUST030,Manufacturing,East,2024-04-14,4319.58,ACTIVE,Segment C,Consumer,OK,
TXN00077,CUST060,Wholesale,South,2024-08-26,2241.02,ACTIVE,Segment A,Office,OK,
TXN00078,CUST053,Wholesale,South,2024-06-27,4816.92,ACTIVE,Segment A,Industrial,OK,
