month,country,product_line,target_revenue,target_collection_rate
2025-01-01,Germany,Core Policy,72236.9,0.848
2025-01-01,Germany,Claims Analytics,57865.63,0.915
2025-01-01,Germany,Risk Platform,93403.36,0.918
2025-01-01,Germany,Service Desk,91399.67,0.895
2025-01-01,France,Core Policy,93187.64,0.831
2025-01-01,France,Claims Analytics,68706.0,0.869
2025-01-01,France,Risk Platform,119914.64,0.87
2025-01-01,France,Service Desk,53591.51,0.841
2025-01-01,Netherlands,Core Policy,109971.49,0.851
2025-01-01,Netherlands,Claims Analytics,72286.94,0.918
2025-01-01,Netherlands,Risk Platform,103089.03,0.924
2025-01-01,Netherlands,Service Desk,110376.06,0.89
2025-01-01,Austria,Core Policy,93614.02,0.857
2025-01-01,Austria,Claims Analytics,85521.84,0.821
2025-01-01,Austria,Risk Platform,51874.23,0.833
2025-01-01,Austria,Service Desk,93476.58,0.822
2025-01-01,Switzerland,Core Policy,72445.11,0.822
2025-01-01,Switzerland,Claims Analytics,87984.77,0.832
2025-01-01,Switzerland,Risk Platform,62788.92,0.916
2025-01-01,Switzerland,Service Desk,66605.89,0.852
2025-02-01,Germany,Core Policy,85146.89,0.914
2025-02-01,Germany,Claims Analytics,79518.18,0.911
2025-02-01,Germany,Risk Platform,82566.04,0.92
2025-02-01,Germany,Service Desk,80457.33,0.887
2025-02-01,France,Core Policy,113200.54,0.89
2025-02-01,France,Claims Analytics,40369.03,0.86
2025-02-01,France,Risk Platform,84366.37,0.932
2025-02-01,France,Service Desk,80375.45,0.829
2025-02-01,Netherlands,Core Policy,87779.2,0.9
2025-02-01,Netherlands,Claims Analytics,70452.13,0.838
2025-02-01,Netherlands,Risk Platform,79000.41,0.849
2025-02-01,Netherlands,Service Desk,54575.41,0.846
2025-02-01,Austria,Core Policy,89030.29,0.895
2025-02-01,Austria,Claims Analytics,65996.17,0.861
2025-02-01,Austria,Risk Platform,93830.68,0.937
2025-02-01,Austria,Service Desk,102848.17,0.855
2025-02-01,Switzerland,Core Policy,98096.83,0.919
2025-02-01,Switzerland,Claims Analytics,88724.23,0.887
2025-02-01,Switzerland,Risk Platform,89619.58,0.883
2025-02-01,Switzerland,Service Desk,83322.16,0.895
2025-03-01,Germany,Core Policy,60799.87,0.894
2025-03-01,Germany,Claims Analytics,79669.76,0.868
2025-03-01,Germany,Risk Platform,75787.1,0.826
2025-03-01,Germany,Service Desk,86207.78,0.824
2025-03-01,France,Core Policy,76917.84,0.844
2025-03-01,France,Claims Analytics,72394.94,0.917
2025-03-01,France,Risk Platform,58040.43,0.858
2025-03-01,France,Service Desk,92619.7,0.848
2025-03-01,Netherlands,Core Policy,62793.81,0.873
2025-03-01,Netherlands,Claims Analytics,94402.74,0.892
2025-03-01,Netherlands,Risk Platform,67805.34,0.895
2025-03-01,Netherlands,Service Desk,104350.23,0.879
2025-03-01,Austria,Core Policy,90066.11,0.893
2025-03-01,Austria,Claims Analytics,111033.1,0.926
2025-03-01,Austria,Risk Platform,91996.17,0.885
2025-03-01,Austria,Service Desk,104159.7,0.882
2025-03-01,Switzerland,Core Policy,91461.36,0.904
2025-03-01,Switzerland,Claims Analytics,63556.72,0.868
2025-03-01,Switzerland,Risk Platform,86916.79,0.884
2025-03-01,Switzerland,Service Desk,70181.67,0.835
2025-04-01,Germany,Core Policy,88321.65,0.913
2025-04-01,Germany,Claims Analytics,121447.93,0.823
2025-04-01,Germany,Risk Platform,71308.04,0.843
2025-04-01,Germany,Service Desk,67082.9,0.835
2025-04-01,France,Core Policy,91014.37,0.907
2025-04-01,France,Claims Analytics,76162.4,0.923
2025-04-01,France,Risk Platform,105709.75,0.896
2025-04-01,France,Service Desk,102129.14,0.931
2025-04-01,Netherlands,Core Policy,108043.68,0.821
2025-04-01,Netherlands,Claims Analytics,51474.79,0.9
2025-04-01,Netherlands,Risk Platform,112903.66,0.846
2025-04-01,Netherlands,Service Desk,106458.88,0.927
2025-04-01,Austria,Core Policy,64520.54,0.85
2025-04-01,Austria,Claims Analytics,65829.95,0.925
2025-04-01,Austria,Risk Platform,80093.84,0.862
2025-04-01,Austria,Service Desk,95519.36,0.925
2025-04-01,Switzerland,Core Policy,78970.07,0.932
2025-04-01,Switzerland,Claims Analytics,83265.3,0.854
2025-04-01,Switzerland,Risk Platform,62937.36,0.835
2025-04-01,Switzerland,Service Desk,64837.86,0.914
2025-05-01,Germany,Core Policy,52073.58,0.906
2025-05-01,Germany,Claims Analytics,82663.22,0.928
2025-05-01,Germany,Risk Platform,76894.46,0.902
2025-05-01,Germany,Service Desk,76847.55,0.835
2025-05-01,France,Core Policy,93142.97,0.935
2025-05-01,France,Claims Analytics,67958.14,0.892
2025-05-01,France,Risk Platform,76305.21,0.891
2025-05-01,France,Service Desk,96866.49,0.855
2025-05-01,Netherlands,Core Policy,128323.5,0.876
2025-05-01,Netherlands,Claims Analytics,60022.11,0.848
2025-05-01,Netherlands,Risk Platform,48501.43,0.874
2025-05-01,Netherlands,Service Desk,119787.88,0.882
2025-05-01,Austria,Core Policy,79734.82,0.92
2025-05-01,Austria,Claims Analytics,99296.07,0.895
2025-05-01,Austria,Risk Platform,74301.11,0.908
2025-05-01,Austria,Service Desk,105476.59,0.872
2025-05-01,Switzerland,Core Policy,111421.1,0.85
2025-05-01,Switzerland,Claims Analytics,72644.65,0.869
2025-05-01,Switzerland,Risk Platform,121882.13,0.879
2025-05-01,Switzerland,Service Desk,90215.89,0.849
2025-06-01,Germany,Core Policy,104887.1,0.909
2025-06-01,Germany,Claims Analytics,39009.32,0.891
2025-06-01,Germany,Risk Platform,61289.35,0.927
2025-06-01,Germany,Service Desk,90125.68,0.908
2025-06-01,France,Core Policy,72761.47,0.821
2025-06-01,France,Claims Analytics,82217.15,0.895
2025-06-01,France,Risk Platform,77520.88,0.923
2025-06-01,France,Service Desk,96259.16,0.936
2025-06-01,Netherlands,Core Policy,99599.11,0.822
2025-06-01,Netherlands,Claims Analytics,102143.73,0.918
2025-06-01,Netherlands,Risk Platform,57279.89,0.917
2025-06-01,Netherlands,Service Desk,40387.17,0.847
2025-06-01,Austria,Core Policy,64337.27,0.842
2025-06-01,Austria,Claims Analytics,94259.52,0.874
2025-06-01,Austria,Risk Platform,98089.15,0.932
2025-06-01,Austria,Service Desk,87981.41,0.91
2025-06-01,Switzerland,Core Policy,79380.86,0.907
2025-06-01,Switzerland,Claims Analytics,57479.89,0.925
2025-06-01,Switzerland,Risk Platform,94739.98,0.914
2025-06-01,Switzerland,Service Desk,109669.23,0.869
2025-07-01,Germany,Core Policy,73332.81,0.932
2025-07-01,Germany,Claims Analytics,88615.9,0.885
2025-07-01,Germany,Risk Platform,90127.84,0.89
2025-07-01,Germany,Service Desk,114563.14,0.925
2025-07-01,France,Core Policy,51709.26,0.89
2025-07-01,France,Claims Analytics,81346.36,0.838
2025-07-01,France,Risk Platform,59912.94,0.927
2025-07-01,France,Service Desk,71143.26,0.914
2025-07-01,Netherlands,Core Policy,65253.43,0.84
2025-07-01,Netherlands,Claims Analytics,93801.38,0.904
2025-07-01,Netherlands,Risk Platform,87623.1,0.858
2025-07-01,Netherlands,Service Desk,69862.43,0.832
